1	Google assimilates YouTube !	Google	assimilates	YouTube
2	 finally google bought  youtube	google	bought	youtube
3	Google  actually bought  YouTube .	Google	bought	YouTube
4	Google  Closes YouTube Acquisition 	Google	Acquisition	YouTube
5	never even saw this coming , but  apparently  Adobe www.msacromedia.com  is about to buy  Macromedia .	Adobe	buy	Macromedia
6	The story was first seen at Techcrunch , the picked up by the Wall Street Journal and has since been the subject of much talk , posts and thoughts over the past few days and finally it has been confirmed that Google  have purchased  Youtube for $ 1.65 billion in an official statement .	Google	purchased	Youtube
7	Google  confirms YouTube aquisition  - BBC News	Google	aquisition	YouTube
8	Novartis acquired Eon Labs and Hexal to create the world 's leading manufacturer of generic drugs .	Novartis	acquired	Eon Labs
9	Novartis  buys generic drugmakers  Eon , Hexal	Novartis	buys	Eon
10	Google  announced Tuesday that it bought  YouTube for $ 1.65 billion .	Google	bought	YouTube
11	Adobe  has announced the acquisition of  Macromedia .	Adobe	acquisition	Macromedia
12	July 11 , 2005 __ __ __ ( Nasdaq : ADBE ) and __ __ __ ( Nasdaq : MACR ) today announced that they have received a Request for Additional Information and Documentary Materials ( a second request ) from the Department of Justice ( DOJ ) in connection with Adobe  's pending acquisition of  Macromedia .	Adobe	acquisition	Macromedia
13	Official - Google Acquire YouTube For $ 1.65 Billion	Google	Acquire	YouTube
14	Another example of a statutory merger is software maker Adobe Systems  acquisition of  Macromedia ( another software company ) .	Adobe Systems	acquisition	Macromedia
15	BASEL , Switzerland ( AP ) Swiss giant Novartis  says it will buy generic drugmakers  Eon Labs of the United States and Hexal of Germany for more than $ 8 billion in cash .	Novartis	buy	Eon Labs
16	This week in the news we talk about Google  actually does buy  YouTube !	Google	buy	YouTube
17	The __ founders talk about Google acquiring Youtube	Google	acquiring	Youtube
18	Why  did Google buy  YouTube ?	Google	buy	YouTube
19	Why  Did Adobe Buy  Macromedia ?	Adobe	Buy	Macromedia
20	And  now that Google 's got  YouTube , they re gonna work that same magic on your independent short , hitting the guy in the head with a shovel [ plays video of just that ] .	Google	got	YouTube
21	Novartis  completes acquisition of 98 % of  Eon Labs , substantially strengthening the leading position of its Sandoz generics unit ( Basel , July 21 , 2005 )	Novartis	acquisition	Eon Labs
22	But who knows , with Google  's " owning " of YouTube now  ...they are now in the " media " department with that deal...so who knows if they will move on to music stuff next : P	Google	owning	YouTube
23	Google  snaps up  YouTube for $ 1.65B	Google	snaps	YouTube
24	In October 2006 , Google buys Youtube for $ 1.65 billion .	Google	buys	Youtube
25	Google  reportedly in talks to buy  YouTube - Oct. 6 , 2006	Google	buy	YouTube
26	On January 31 , 2006 , Viacom  completed its acquisition of  DreamWorks LLC ( __ ) , a producer of live - action motion pictures , television programming and home entertainment products .	Viacom	acquisition	DreamWorks
27	 Another Google Acquisition  : YouTube	Google	Acquisition	YouTube
28	__ - Adobe  to acquire  Macromedia	Adobe	acquire	Macromedia
29	Oct. 10 : Google  buys the online video sharing site  YouTube for $ 1.65 billion in a deal expected to dramatically improve __ 's video traffic .	Google	buys	YouTube
30	Google  has acquired  Youtube , an online video sharing service , for US $ 1.65B in __ stock .	Google	acquired	Youtube
