1	Google assimilates YouTube !	Google	assimilates	YouTube	1	Correct
2	 finally google bought  youtube	google	bought	youtube	1	Correct
3	Google  actually bought  YouTube .	Google	actually bought	YouTube	1	Correct
4	Google  Closes YouTube Acquisition 	Google	---	YouTube	-	Missing
5	never even saw this coming , but  apparently  Adobe www.msacromedia.com  is about to buy  Macromedia .	Adobe	---	Macromedia	-	Missing
6	The story was first seen at Techcrunch , the picked up by the Wall Street Journal and has since been the subject of much talk , posts and thoughts over the past few days and finally it has been confirmed that Google  have purchased  Youtube for $ 1.65 billion in an official statement .	Google	have purchased	Youtube	1	Correct
7	Google  confirms YouTube aquisition  - BBC News	Google	---	YouTube	-	Missing
8	Novartis acquired Eon Labs and Hexal to create the world 's leading manufacturer of generic drugs .	Novartis	---	Eon Labs	-	Missing
9	Novartis  buys generic drugmakers  Eon , Hexal	Novartis	---	Eon	-	Missing
10	Google  announced Tuesday that it bought  YouTube for $ 1.65 billion .	Google	---	YouTube	-	Missing
11	Adobe  has announced the acquisition of  Macromedia .	Adobe	has announced the acquisition of	Macromedia	1	Correct
12	July 11 , 2005 __ __ __ ( Nasdaq : ADBE ) and __ __ __ ( Nasdaq : MACR ) today announced that they have received a Request for Additional Information and Documentary Materials ( a second request ) from the Department of Justice ( DOJ ) in connection with Adobe  's pending acquisition of  Macromedia .	Adobe	---	Macromedia	-	Missing
13	Official - Google Acquire YouTube For $ 1.65 Billion	Google	---	YouTube	-	Missing
14	Another example of a statutory merger is software maker Adobe Systems  acquisition of  Macromedia ( another software company ) .	Adobe Systems	---	Macromedia	-	Missing
15	BASEL , Switzerland ( AP ) Swiss giant Novartis  says it will buy generic drugmakers  Eon Labs of the United States and Hexal of Germany for more than $ 8 billion in cash .	Novartis	---	Eon Labs	-	Missing
16	This week in the news we talk about Google  actually does buy  YouTube !	Google	actually does buy	YouTube	1	Correct
17	The __ founders talk about Google acquiring Youtube	Google	---	Youtube	-	Missing
18	Why  did Google buy  YouTube ?	Google	buy	YouTube	1	Correct
19	Why  Did Adobe Buy  Macromedia ?	Adobe	Buy	Macromedia	1	Correct
20	And  now that Google 's got  YouTube , they re gonna work that same magic on your independent short , hitting the guy in the head with a shovel [ plays video of just that ] .	Google	---	YouTube	-	Missing
21	Novartis  completes acquisition of 98 % of  Eon Labs , substantially strengthening the leading position of its Sandoz generics unit ( Basel , July 21 , 2005 )	Novartis	completes acquisition of	Eon Labs	1	Correct
22	But who knows , with Google  's " owning " of YouTube now  ...they are now in the " media " department with that deal...so who knows if they will move on to music stuff next : P	Google	---	YouTube	-	Missing
